doc_id,title,path,url,vigencia
1,"Reglamento de Estudios de Pregrado",reglamento_estudios_pregrado.pdf,"https://pregrado.ufro.cl/images/URL2021/URL2023/ReglamentodeRegimendeEstudios__2023_.pdf",2023-05-23
2,"Calendario Académico 2025",calendario_academico_2025.txt,"http://www.ufro.cl/calendario-academico/",2025-01-01
3,"Reglamento de Convicencia Universitaria",reglamento_convivencia_universitaria.pdf,"https://www.ufro.cl/wp-content/uploads/2024/09/REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf",2023-12-01
